study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	fastq_ftp	sample_alias
PRJNA376566	SAMN06444318	SRS2092872	SRX2698480	SRR5406002	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5406002/SRR5406002.fastq.gz	N2_031_055G1
PRJNA376566	SAMN06444317	SRS2092873	SRX2698481	SRR5406003	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5406003/SRR5406003.fastq.gz	N2_031_040G1
PRJNA376566	SAMN06444316	SRS2092874	SRX2698482	SRR5406004	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5406004/SRR5406004.fastq.gz	N2_031_033G1
PRJNA376566	SAMN06444315	SRS2092875	SRX2698483	SRR5406005	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/005/SRR5406005/SRR5406005.fastq.gz	N2_031_027G1
PRJNA376566	SAMN06444314	SRS2092876	SRX2698484	SRR5406006	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/006/SRR5406006/SRR5406006.fastq.gz	N2_031_023G1
PRJNA376566	SAMN06444313	SRS2092877	SRX2698485	SRR5406007	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/007/SRR5406007/SRR5406007.fastq.gz	N2_031_021G1
PRJNA376566	SAMN06444312	SRS2092878	SRX2698486	SRR5406008	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/008/SRR5406008/SRR5406008.fastq.gz	N2_031_020G1
PRJNA376566	SAMN06444311	SRS2092879	SRX2698487	SRR5406009	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/009/SRR5406009/SRR5406009.fastq.gz	N2_031_018G1
PRJNA376566	SAMN06444310	SRS2092880	SRX2698488	SRR5406010	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5406010/SRR5406010.fastq.gz	N2_031_016G1
PRJNA376566	SAMN06444309	SRS2092881	SRX2698489	SRR5406011	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/001/SRR5406011/SRR5406011.fastq.gz	N2_031_014G1
PRJNA376566	SAMN06444308	SRS2092882	SRX2698490	SRR5406012	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/002/SRR5406012/SRR5406012.fastq.gz	N2_031_012G1
PRJNA376566	SAMN06444307	SRS2092883	SRX2698491	SRR5406013	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/003/SRR5406013/SRR5406013.fastq.gz	N2_031_010G1
PRJNA376566	SAMN06444306	SRS2092884	SRX2698492	SRR5406014	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/004/SRR5406014/SRR5406014.fastq.gz	N2_031_008G1
